//Random x,y points clustered into three areas.

//              Input Type        Problem Name
MMCInputType    SEPARATINGPOINTS  SeparatingPoints


167

  0   0.5   0.3
  1   1.5   0.3
  2   2.5   0.6
  3   1.0   0.6
  4   1.5   0.8
  5   2.0   0.7
  6   0.3   1.0
  7   0.5   1.0
  8   1.1   1.0
  9   2.0   1.0
 10   2.5   0.9
 11   2.8   1.0
 12   1.8   1.2
 13   1.2   1.3
 14   0.1   1.4
 15   1.6   1.5
 16   2.5   1.6
 17   0.7   0.7
 18   1.0   1.0
 19   1.8   1.8
 20   1.8   2.0
 21   0.5   2.1
 22   1.3   2.2
 23   0.5   2.4
 24   1.0   2.3
 25   1.5   2.4
 26   0.2   2.6
 27   0.5   2.9
 28   0.8   2.7
 29   5.3   2.1
 30   5.7   2.1
 31   4.3   2.3
 32   4.3   2.5
 33   4.8   2.5
 34   3.2   3.1
 35   4.0   2.8
 36   5.7   2.7
 37   5.4   3.0
 38   6.0   3.0
 39   4.4   3.1
 40   3.5   3.2
 41   2.6   3.6
 42   3.0   3.3
 43   3.7   3.4
 44   4.7   3.4
 45   5.8   3.5
 46   2.2   3.7
 47   2.7   3.7
 48   3.3   3.7
 49   4.2   3.7
 50   4.8   3.7
 51   1.7   4.0
 52   5.2   4.0
 53   2.0   4.3
 54   3.0   4.2
 55   4.0   4.3
 56   4.7   4.2
 57   0.8   4.5
 58   1.3   4.5
 59   2.5   4.5
 60   3.1   4.5
 61   3.6   4.5
 62   4.4   4.5
 63   1.0   4.8
 64   1.7   4.7
 65   2.2   4.8
 66   3.9   4.7
 67   3.2   4.9
 68   1.6   5.0
 69   3.5   5.0
 70   2.6   5.2
 71   3.0   5.2
 72   1.1   5.6
 73   1.5   5.5
 74   2.2   5.5
 75   2.7   5.6
 76   3.3   5.5
 77   1.8   5.8
 78   2.5   6.0
 79   1.0   6.1
 80   1.4   6.1
 81   1.8   6.2
 82   2.5   6.4
 83   0.9   6.5
 84   2.0   6.5
 85   1.3   6.8
 86   2.9   6.7
 87   1.5   7.0
 88   2.9   7.2
 89   1.5   7.3
 90   2.5   7.3
 91   1.8   7.5
 92   2.3   7.5
 93   2.6   7.6
 94   1.5   7.7
 95   1.7   7.9
 96   1.5   8.0
 97   2.2   8.0
 98   2.7   8.0
 99   1.7   8.2
100   2.5   8.5
101   3.2   8.5
102   3.6   8.4
103   2.0   8.7
104   5.5   8.7
105   3.0   8.8
106   3.6   8.7
107   5.7   8.8
108   2.5   9.0
109   5.3   9.0
110   6.5   9.0
111   3.0   9.3
112   3.7   9.2
113   4.2   9.2
114   4.5   9.1
115   5.0   9.2
116   5.5   9.3
117   5.8   9.3
118   4.5   9.5
119   5.7   9.5
120   6.4   9.5
121   3.0   9.6
122   5.0   9.6
123   4.0   9.7
124   4.8   9.7
125   6.0   9.7
126   3.3   9.8
127   3.7   10.0
128   4.3   10.0
129   5.3   10.0
130   6.0   10.1
131   3.1   10.1
132   5.8   10.5
133   6.3   4.5
134   6.1   4.9
135   6.3   5.1
136   5.7   5.2
137   6.5   5.2
138   5.2   5.6
139   6.3   5.5
140   6.0   5.6
141   4.6   5.7
142   5.1   5.9
143   5.5   5.7
144   4.6   6.1
145   5.5   5.9
146   6.4   6.3
147   5.2   6.1
148   5.7   6.2
149   4.7   6.3
150   6.0   6.4
151   4.1   6.5
152   5.0   6.5
153   6.4   6.5
154   5.6   6.6
155   4.5   6.7
156   5.3   6.8
157   6.2   6.8
158   4.5   7.0
159   4.7   7.0
160   5.8   7.0
161   4.2   7.1
162   5.3   7.3
163   4.7   7.4
164   6.0   7.4
165   4.1   7.4
166   5.5   7.4






































